2026-04-27T14:42:17.602+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Starting MedicalAppointmentSystemApplication using Java 17.0.18 with PID 44272 (C:\Users\user\IdeaProjects\medical-appointment-system\target\classes started by user in C:\Users\user\IdeaProjects\medical-appointment-system)
2026-04-27T14:42:17.613+03:00 DEBUG 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-27T14:42:17.614+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : No active profile set, falling back to 1 default profile: "default"
2026-04-27T14:42:18.966+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27T14:42:19.092+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2026-04-27T14:42:20.241+03:00  INFO 44272 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2026-04-27T14:42:20.276+03:00  INFO 44272 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-04-27T14:42:20.276+03:00  INFO 44272 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-04-27T14:42:20.386+03:00  INFO 44272 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2026-04-27T14:42:20.386+03:00  INFO 44272 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2684 ms
2026-04-27T14:42:20.663+03:00  INFO 44272 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-27T14:42:20.757+03:00  INFO 44272 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.3.1.Final
2026-04-27T14:42:20.836+03:00  INFO 44272 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2026-04-27T14:42:21.260+03:00  INFO 44272 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-27T14:42:21.307+03:00  INFO 44272 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2026-04-27T14:42:21.593+03:00  INFO 44272 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@e86c9a5
2026-04-27T14:42:21.593+03:00  INFO 44272 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2026-04-27T14:42:21.656+03:00  WARN 44272 --- [main] org.hibernate.orm.deprecation            : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-04-27T14:42:23.108+03:00  INFO 44272 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-27T14:42:23.345+03:00  INFO 44272 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-27T14:42:23.911+03:00  INFO 44272 --- [main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-27T14:42:24.984+03:00  WARN 44272 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-27T14:42:25.660+03:00  INFO 44272 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path ''
2026-04-27T14:42:25.675+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Started MedicalAppointmentSystemApplication in 8.991 seconds (process running for 9.885)
2026-04-27T14:43:31.969+03:00  INFO 44272 --- [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-27T14:43:31.970+03:00  INFO 44272 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-04-27T14:43:31.970+03:00  INFO 44272 --- [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2026-04-27T14:43:32.158+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 128 мс
